stress,strain,T,strainrate,porosity
3008.587353962538,0.3186,20,500,0
3011.7877213607353,0.3191,20,500,0
3014.9888085100933,0.3196,20,500,0
3018.1906144459826,0.3201,20,500,0
3021.3931382065716,0.3206,20,500,0
3024.596378832814,0.3211,20,500,0
3027.800335368437,0.3216,20,500,0
3031.0050068599285,0.3221,20,500,0
3034.2103923565246,0.3226,20,500,0
3037.416490910197,0.3231,20,500,0
3040.623301575643,0.3236,20,500,0
3043.8308234102706,0.3241,20,500,0
3047.03905547419,0.3246,20,500,0
3050.2479968301964,0.3251,20,500,0
3053.4576465437653,0.3256,20,500,0
3056.6680036830344,0.3261,20,500,0
3059.879067318795,0.3266,20,500,0
3063.0908365244813,0.3271,20,500,0
3066.303310376155,0.3276,20,500,0
3069.5164879524973,0.3281,20,500,0
3072.7303683347986,0.3286,20,500,0
3075.944950606942,0.3291,20,500,0
3079.160233855396,0.3296,20,500,0
3082.3762171692033,0.3301,20,500,0
3085.592899639968,0.3306,20,500,0
3088.810280361845,0.3311,20,500,0
3092.02835843153,0.3316,20,500,0
3095.247132948247,0.3321,20,500,0
3098.466603013738,0.3326,20,500,0
3101.6867677322552,0.3331,20,500,0
3104.9076262105436,0.3336,20,500,0
3108.1291775578375,0.3341,20,500,0
3111.351420885843,0.3346,20,500,0
3114.5743553087336,0.3351,20,500,0
3117.7979799431378,0.3356,20,500,0
3121.022293908125,0.3361,20,500,0
3124.2472963252,0.3366,20,500,0
3127.4729863182906,0.3371,20,500,0
3130.699363013737,0.3376,20,500,0
3133.9264255402827,0.3381,20,500,0
3137.1541730290623,0.3386,20,500,0
3140.382604613595,0.3391,20,500,0
3143.61171942977,0.3396,20,500,0
3146.8415166158393,0.3401,20,500,0
3150.0719953124094,0.3406,20,500,0
3153.303154662427,0.3411,20,500,0
3156.534993811173,0.3416,20,500,0
3159.767511906251,0.3421,20,500,0
3163.000708097577,0.3426,20,500,0
3166.2345815373724,0.3431,20,500,0
3169.4691313801504,0.3436,20,500,0
3172.7043567827113,0.3441,20,500,0
3175.9402569041285,0.3446,20,500,0
3179.1768309057425,0.3451,20,500,0
3182.4140779511486,0.3456,20,500,0
3185.6519972061897,0.3461,20,500,0
3188.8905878389464,0.3466,20,500,0
3192.129849019728,0.3471,20,500,0
3195.369779921062,0.3476,20,500,0
3198.610379717689,0.3481,20,500,0
3201.851647586546,0.3486,20,500,0
3205.0935827067647,0.3491,20,500,0
3208.336184259661,0.3496,20,500,0
3211.5794514287227,0.3501,20,500,0
3214.8233833996046,0.3506,20,500,0
3218.0679793601157,0.3511,20,500,0
3221.3132385002164,0.3516,20,500,0
3224.5591600120015,0.3521,20,500,0
3227.8057430896997,0.3526,20,500,0
3231.0529869296597,0.3531,20,500,0
